abasto
abelho
abranches
abrantes
abreu
adao
adarga
afonso
agueda
aguiar
aires
albernaz
albuquerque
alcaide
alcantara
alcoforado
aldeia
aleixo
alencar
almada
almeida
alpuim
alvarenga
alvares
alvaro
alvelos
alves
alvim
amado
amaral
amarante
amaro
amoedo
amorim
andrade
anes
angelim
anhaia
anjos
anlicoara
antas
antunes
aquino
aragao
aranha
arantes
araujo
areosa
argolo
arouca
arruda
assis
assuncao
ataide
atilano
aveiro
avelar
avila
azambuja
azenha
azeredo
azevedo
bacelar
baia
baiao
bairros
baldaia
balsemao
bandeira
banha
baptista
barata
barateiro
barbalho
barbosa
barcelos
barra
barreira
barreiros
barrico
barrela
barreno
barreto
barroca
barrocas
barroqueiro
barros
barroso
basilio
bastos
batata
beiriz
belchior
belchiorinho
belem
belmonte
belo
beltrao
bencatel
benevides
bensaude
bentes
bettencourt
bento
berenguer
bernardes
bessa
bezerra
bezerril
bicalho
bicudo
bilhalva
bingre
bivar
boaventura
boeira
boga
bogado
bonilha
bonito
borba
borges
borja
botelho
botica
boto
bouca
boucas
brandao
braga
braganca
branco
bras
brasio
brasil
breia
briao
brites
brito
brochado
brum
bugalho
bulhoes
bulhosa
cabeca
cabral
cabreira
cachao
cachoeira
cacoilo
cadaval
cadavez
caeira
caeiro
caetano
cafe
caiado
caires
calado
calcada
caldas
caldeira
calheiros
camacho
camara
camargo
camarinho
cambezes
camelo
camilo
caminha
campelo
campos
canadas
canario
cancela
candal
candeias
canedo
caneira
canejo
canela
cangueiro
canhao
canica
cantanhede
canto
caparica
capistrano
capucho
cardim
cardoso
carlos
carmo
carmona
carneiro
coronel
carqueijeiro
carrasco
carrasqueira
carreira
carregueiro
carreiro
carrilho
carromeu
cartaxo
carvalhais
carvalhal
carvalheira
carvalheiro
carvalho
carvalhosa
carvalhoso
casado
casalinho
cascais
casqueira
castanheira
castanho
castanheda
castelhano
castelo
castelo branco
castilho
castilhos
castro
catela
cavadas
cavaco
cavalheiro
cedraz
cedro
cerqueira
cerveira
cesar
cesario
chagas
chainho
chamusca
charneca
chaves
chousa
cidreira
cipriano
cirne
cisneiros
clementino
cobra
coelho
coimbra
colaco
colares
conceicao
conde
condorcet
cordeiro
correia
corte-real
cortes
cortesao
costa
da-costa
cotrim
couceiro
coutinho
couto
covilha
covinha
craveiro
cruz
cunha
curvelo
custodio
curado
damasceno
damasio
damaso
dantas
delgado
dias
diegues
dinis
dourado
doutel
doutis
domingos
domingues
dorneles
duarte
durao
duraes
dutra
eanes
eiro
escobar
espargosa
esparteiro
espinosa
espirito santo
esteves
estrada
estrela
faia
fagundes
falcao
faleiro
faria
farias
farinha
faro
fartaria
faustino
fazendeiro
feijo
feira
feitosa
felix
fernandes
ferraco
ferrao
ferraz
ferreira
ferro
festas
fiaes
fialho
fidalgo
figueira
figueiredo
figueiro
figueiroa
filgueiras
filipe
fitas
fiuza
flavio
flores
fogaca
fonseca
fontes
fontinha
fontoura
foquico
fortes
fortunato
frade
fraga
fragoso
frajuca
franca
franca
franco
franca
franqueira
frazao
freire
freiria
freitas
freixo
frias
frois
frota
furquim
furtado
gabeira
gadelha
gago
galante
galindo
galvao
gama
gameiro
garcez
garcia
garrau
garrido
gaspar
gentil
gil
ginjeira
girao
godinho
godoi
gois
gomes
gomide
goncalves
gorjao
goulart
gouveia
goulao
graca
grande
grangeia
granja
granjeiro
gravato
grilo
guedelha
guedes
guerra
guerreiro
guilheiro
guimaraes
gusmao
guterres
henriques
hernandes
hilario
hipolito
holanda
homem
horta
igrejas
ilha
imperial
inacio
ines
infante
jamandas
janes
jardim
jesus
jobim
jordao
jorge
judice
junqueira
keil
lacerda
lage
lages
lago
lagoa
lagos
lalanda
lamego
lameira
lameirinhas
lameiras
lamenha
lampreia
lancastre
landim
lara
laranjeira
larios
laureano
leal
leao
leiria
leitao
leite
leme
lemes
lemos
lessa
letras
liberato
lima
linhares
lindim
lins
lira
lisboa
lobato
lobo
loio
lopes
lourenco
loureiro
lousa
lousada
lousado
lucas
lucena
lustosa
luz
macedo
macena
machado
macieira
maciel
madeira
madruga
madureira
mafra
magalhaes
maia
mainha
maior
malafaia
malheiro
malho
malta
mamouros
mangueira
mansilha
manso
mantas
maranhao
marcal
marcondes
marinho
marins
mariz
marmou
marques
marreiro
marroquim
martinho
martins
mascarenhas
mata
mateus
matias
matos
matosinhos
matoso
medeiros
medina
meira
meireles
melancia
melgaco
mena
melo
mendes
mendonca
meneses
mesquita
mexia
miguel
migueis
mieiro
milhaes
milheirao
milheirico
milheiro
minho
miranda
mirandela
modesto
moita
mondragao
monforte
monjardim
monsanto
mont'alverne
monte
montenegro
monteiro
morais
morao
moreira
moreno
morgado
mortagua
mota
moura
mourao
mourato
mourinho
moutinho
muniz
murteira
murtinho
muxagata
narvais
nascimento
natal
naves
nazario
negrao
negreiros
negromonte
neiva
neres
neto
neves
ninharelhos
nobre
nobrega
nogueira
noite
nolasco
noleto
noroes
noronha
novais
nunes
olaio
oleiro
olivares
oliveira
onofre
ornelas
orrica
osorio
ourique
ouro
outeiro
pacheco
padilha
padua
paiao
pais
paiva
paixao
palha
palhares
palma
palmeira
palos
parafita
paranhos
pardo
paredes
parente
parracho
parreir
passarinho
passos
pastana
patricio
paula
paulos
paz
pecanha
pecego
pederneiras
pedro
pedroso
pegado
peixoto
penha
penteado
pequeno
peralta
perdigao
pereira
pescada
peseiro
pessoa
pestana
picanco
picao
pimenta
pimentel
pinhal
pinheiro
pinho
pinto
piteira
